year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
2008,Scion,xB,Base,Wagon,automatic,jtlke50e981006053,la,27.0,96665.0,blue,black,jpmorgan chase bank n.a.,6175.0,7100.0,Wed Jan 14 2015 03:00:00 GMT-0800 (PST)
2008,Scion,tC,Base,Hatchback,manual,jtkde167680269993,va,19.0,137849.0,gray,gray,mcmb financial,4150.0,3700.0,Thu Jan 22 2015 01:20:00 GMT-0800 (PST)
2008,Suzuki,Grand Vitara,Luxury,SUV,automatic,js3td947584100291,pa,19.0,38624.0,red,purple,smith haven mitsubishi,7475.0,7500.0,Tue Dec 23 2014 09:00:00 GMT-0800 (PST)
2008,smart,fortwo,passion,Hatchback,automatic,wmeej31x38k189583,fl,39.0,65799.0,blue,black,courtesy nissan of tampa,4250.0,4300.0,Thu Dec 18 2014 16:20:00 GMT-0800 (PST)
2008,Suzuki,Grand Vitara,XSport,SUV,automatic,js3te944484101029,pr,35.0,103667.0,white,brown,oriental bank,4550.0,5000.0,Thu Jan 22 2015 03:30:00 GMT-0800 (PST)
2008,Saturn,VUE,XE,SUV,automatic,3gscl33p98s512928,la,,87601.0,black,gray,american auto brokers inc,5250.0,7500.0,Wed Dec 17 2014 10:30:00 GMT-0800 (PST)
2008,Toyota,Camry,LE,Sedan,automatic,4t1be46k78u258560,ga,19.0,119036.0,silver,gray,wells fargo dealer services,6950.0,7000.0,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
2008,Saturn,VUE,XR,SUV,automatic,3gscl53708s650384,nc,39.0,82621.0,blue,beige,primeritus remarketing/crescent bank & trust,7075.0,7700.0,Mon Dec 22 2014 09:00:00 GMT-0800 (PST)
2008,Saturn,VUE,XR,SUV,automatic,3gscl53708s682218,tx,32.0,125997.0,red,beige,caprock auto remarketing,5050.0,5700.0,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
2008,Toyota,Camry Hybrid,Base,Sedan,automatic,4t1bb46k08u059052,az,27.0,75982.0,green,beige,earnhardt,9500.0,10500.0,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
2008,Scion,xB,Base,Wagon,automatic,jtlke50e481007546,ca,36.0,125622.0,—,black,veros credit,5200.0,5600.0,Tue Dec 23 2014 12:00:00 GMT-0800 (PST)
2008,smart,fortwo,passion,Hatchback,automatic,wmeej31x28k086610,mi,48.0,83149.0,yellow,black,platinum motor cars,3800.0,4600.0,Thu Dec 18 2014 09:30:00 GMT-0800 (PST)
2008,Toyota,Camry Solara,SLE V6,Convertible,automatic,4t1fa38p98u136363,fl,,93831.0,red,tan,pines auto brokers,9150.0,9000.0,Wed Dec 17 2014 09:35:00 GMT-0800 (PST)
2008,Suzuki,XL7,Base,SUV,,2s3db117986104746,ga,34.0,80243.0,gold,beige,tdaf remarketing,5275.0,3800.0,Thu Jan 15 2015 02:00:00 GMT-0800 (PST)
2008,Subaru,Impreza,2.5i,Hatchback,automatic,jf1gh61698h807133,pa,28.0,126110.0,gray,black,jpmorgan chase bank n.a.,5300.0,4200.0,Fri Dec 19 2014 09:00:00 GMT-0800 (PST)
2008,Subaru,Impreza,2.5i,Hatchback,,jf1gh61678h833052,pa,41.0,120780.0,gray,black,dnl automotive inc,5550.0,6200.0,Fri Dec 19 2014 09:00:00 GMT-0800 (PST)
